Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
97,Hersey Hawkins\hawkihe01,Hersey Hawkins,hawkihe01,1990-91,24,PHI,NBA,22.1,0.592,9.8,80,80,3110,590,1251,482,981,108,270,479,550,48,262,310,299,178,39,213,182,1767,0.472,0.491,0.4,0.515,0.871
98,Paul Westphal\westppa01,Paul Westphal,westppa01,1977-78,27,PHO,NBA,25.2,0.565,9.8,80,,2481,809,1568,809,1568,,,396,487,41,123,164,437,138,31,280,162,2014,0.516,0.516,,0.516,0.813
99,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2015-16,26,BOS,NBA,22.2,0.562,9.7,82,79,2644,591,1382,424,917,167,465,474,544,46,197,243,509,91,9,220,167,1823,0.428,0.462,0.359,0.488,0.871
100,Jerry West\westje01,Jerry West,westje01,1967-68,29,LAL,NBA,26.3,0.59,9.6,51,,1919,476,926,476,926,,,391,482,,,294,310,,,,152,1343,0.514,0.514,,0.514,0.811
101,Ray Allen\allenra02,Ray Allen,allenra02,2005-06,30,SEA,NBA,25.1,0.59,9.5,78,78,3022,681,1500,412,847,269,653,324,359,71,261,332,286,105,16,188,151,1955,0.454,0.486,0.412,0.544,0.903
102,Kevin Martin\martike02,Kevin Martin,martike02,2010-11,27,HOU,NBA,23.5,0.601,9.5,80,80,2603,553,1267,377,808,176,459,594,669,28,230,258,198,80,15,184,155,1876,0.436,0.467,0.383,0.506,0.888
103,David Thompson\thompda01,David Thompson,thompda01,1978-79,24,DEN,NBA,24,0.567,9.5,76,,2670,693,1353,693,1353,,,439,583,109,165,274,225,70,82,186,180,1825,0.512,0.512,,0.512,0.753
104,Walter Davis\daviswa03,Walter Davis,daviswa03,1978-79,24,PHO,NBA,23.6,0.606,9.4,79,,2437,764,1362,764,1362,,,340,409,111,262,373,339,147,26,293,250,1868,0.561,0.561,,0.561,0.831
105,George Gervin\gervige01,George Gervin,gervige01,1982-83,30,SAS,NBA,26.2,0.561,9.4,78,78,2830,757,1553,745,1520,12,33,517,606,111,246,357,264,88,67,247,243,2043,0.487,0.49,0.364,0.491,0.853
106,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1986-87,26,SEA,NBA,24.9,0.588,9.3,82,76,3073,785,1520,699,1280,86,240,385,489,187,260,447,238,104,32,238,267,2041,0.516,0.546,0.358,0.545,0.787
107,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1995-96,30,SAC,NBA,23.1,0.591,9.3,81,81,2946,611,1368,386,853,225,515,425,491,54,215,269,255,125,19,220,233,1872,0.447,0.453,0.437,0.529,0.866
108,Damian Lillard\lillada01,Damian Lillard,lillada01,2015-16,25,POR,NBA,25.1,0.56,9.2,75,75,2676,618,1474,389,864,229,610,414,464,45,257,302,512,65,28,242,165,1879,0.419,0.45,0.375,0.497,0.892
109,Ray Allen\allenra02,Ray Allen,allenra02,2002-03,27,TOT,NBA,22.5,0.565,9.1,76,75,2880,598,1363,397,830,201,533,316,345,94,287,381,334,103,14,198,220,1713,0.439,0.478,0.377,0.512,0.916
110,Joe Dumars\dumarjo01,Joe Dumars,dumarjo01,1992-93,29,DET,NBA,23.5,0.555,9.1,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,0.466,0.489,0.375,0.504,0.864
111,DeMar DeRozan\derozde01,DeMar DeRozan,derozde01,2016-17,27,TOR,NBA,27.3,0.552,9,74,74,2620,721,1545,688,1421,33,124,545,647,70,316,386,290,78,13,180,134,2020,0.467,0.484,0.266,0.477,0.842
112,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1987-88,27,SEA,NBA,25.8,0.572,9,75,73,2790,764,1519,657,1260,107,259,303,395,167,173,340,197,74,11,172,221,1938,0.503,0.521,0.413,0.538,0.767
113,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2016-17,24,CLE,NBA,25.2,0.58,8.9,72,72,2525,671,1420,494,979,177,441,297,328,52,178,230,418,83,24,180,157,1816,0.473,0.505,0.401,0.535,0.905
114,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2006-07,25,MIA,NBA,27.4,0.583,8.8,51,50,1931,472,962,451,883,21,79,432,535,51,188,239,384,107,62,216,117,1397,0.491,0.511,0.266,0.502,0.807
115,Bradley Beal\bealbr01,Bradley Beal,bealbr01,2016-17,23,WAS,NBA,23.1,0.604,8.5,77,77,2684,637,1322,414,770,223,552,282,342,53,187,240,267,83,21,156,169,1779,0.482,0.538,0.404,0.566,0.825
116,Kevin Martin\martike02,Kevin Martin,martike02,2007-08,24,SAC,NBA,23.7,0.618,8.4,61,57,2216,417,914,310,648,107,266,502,578,48,225,273,129,62,5,131,150,1443,0.456,0.478,0.402,0.515,0.869
117,Drazen Petrovic\petrodr01,Drazen Petrovic,petrodr01,1992-93,28,NJN,NBA,22.3,0.605,8.4,70,67,2660,587,1134,512,967,75,167,315,362,42,148,190,247,94,13,204,237,1564,0.518,0.529,0.449,0.551,0.87
118,Otis Birdsong\birdsot01,Otis Birdsong,birdsot01,1980-81,25,KCK,NBA,24.6,0.58,8.2,71,,2593,710,1306,700,1271,10,35,317,455,119,139,258,233,93,18,173,172,1747,0.544,0.551,0.286,0.547,0.697
119,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2004-05,26,LAL,NBA,27.6,0.563,8.1,66,66,2689,573,1324,442,937,131,387,542,664,95,297,392,398,86,53,270,174,1819,0.433,0.472,0.339,0.482,0.816
120,Latrell Sprewell\sprewla01,Latrell Sprewell,sprewla01,1996-97,26,GSW,NBA,24.2,0.57,8.1,80,79,3353,649,1444,502,1029,147,415,493,585,58,308,366,507,132,45,322,153,1938,0.449,0.488,0.354,0.5,0.843
