Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
26,Brandon Roy\roybr01,Brandon Roy,roybr01,2008-09,24,POR,NBA,33.7,0.573,13.5,78,78,2903,633,1318,550,1098,83,220,416,505,104,266,370,400,88,22,152,127,1765,0.48,0.501,0.377,0.512,0.824
27,Stephen Curry\curryst01,Stephen Curry,curryst01,2013-14,25,GSW,NBA,32.8,0.61,13.4,78,78,2846,652,1383,391,768,261,615,308,348,46,288,334,666,128,14,294,194,1873,0.471,0.509,0.424,0.566,0.885
28,James Harden\hardeja01,James Harden,hardeja01,2015-16,26,HOU,NBA,37.4,0.598,13.3,82,82,3125,710,1617,474,960,236,657,720,837,63,438,501,612,139,51,374,229,2376,0.439,0.494,0.359,0.512,0.86
29,Clyde Drexler\drexlcl01,Clyde Drexler,drexlcl01,1987-88,25,POR,NBA,33.1,0.564,13.2,81,80,3060,849,1679,838,1627,11,52,476,587,261,272,533,467,203,52,236,250,2185,0.506,0.515,0.212,0.509,0.811
30,Sidney Moncrief\moncrsi01,Sidney Moncrief,moncrsi01,1982-83,25,MIL,NBA,30.3,0.602,13.2,76,76,2710,606,1156,605,1146,1,10,499,604,192,245,437,300,113,23,197,180,1712,0.524,0.528,0.1,0.525,0.826
31,Derrick Rose\rosede01,Derrick Rose,rosede01,2010-11,22,CHI,NBA,35.6,0.55,13.1,81,81,3026,711,1597,583,1212,128,385,476,555,81,249,330,623,85,51,278,136,2026,0.445,0.481,0.332,0.485,0.858
32,Russell Westbrook\westbru01,Russell Westbrook,westbru01,2016-17,28,OKC,NBA,44.8,0.554,13.1,81,81,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,0.425,0.459,0.343,0.476,0.845
33,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2006-07,28,LAL,NBA,39.7,0.58,13,77,77,3140,813,1757,676,1359,137,398,667,768,75,364,439,413,111,36,255,205,2430,0.463,0.497,0.344,0.502,0.868
34,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2009-10,28,MIA,NBA,39.2,0.562,13,77,77,2792,719,1511,646,1268,73,243,534,702,107,266,373,501,142,82,252,181,2045,0.476,0.509,0.3,0.5,0.761
35,Vince Carter\cartevi01,Vince Carter,cartevi01,2000-01,24,TOR,NBA,36.7,0.551,12.9,75,75,2979,762,1656,600,1259,162,397,384,502,176,240,416,291,114,82,167,205,2070,0.46,0.477,0.408,0.509,0.765
